categoria,subcategoria,autor,titulo,microdescripcion,descripcion,enlace
personal,,,"POSTULACIÓN ",,,
personal,,,"PLANILLA DE INSCRIPCION CEM PARA LOS ODDI",,,
personal,,,"CEDULA Y RIF",,,
personal,,,"Resumen Curricular Abril 2026",,,
personal,,,"TÍTULO BACHILER",,,
personal,,,"Notas Bachiller",,,
personal,,,"Partida de Nacimiento",,,
personal,,,"Historico de Notas TSU",,,
personal,,,"Aprobación de Proyecto",,,
personal,,,"Cuenta de ahorro BV",,,
personal,,,"Certificado Trb Socio Comunitarios 2011",,,
personal,,,"Reconocimiento 2013",,,
personal,,,"Informe de riesgo Parque Central",,,
personal,,,"Formato de Inspección Integral",,,
personal,,,"ESTRUCTURA POR EDIFICIO",,,
personal,,,"ODDI PLAN",,,
academico,,,"Plan Punto y Circulo",,,
academico,,,"SISTEMA DE SEGUIMIENTO OPERATIVO ESTRATÉGICO",,,
academico,,,"Guerra popular de Resitencia",,,
academico,,,"Hoja de Guerra",,,
academico,,,"PLAN ARS 2024 2025",,,
academico,,,"SAM PROPUESTA",,,
academico,,,"Proyectos vinculados",,,
academico,,,"UNIDAD 1 Generalidades del Fondo Verde para el ",,,
academico,,,"UNIDAD 2 Preparación de Proyectos para el Fondo",,,
academico,,,"UNIDAD 3 Programa de País",,,
academico,,,"PLAN DE TRABAJO",,,
alimentacion,,,"poder-del-metabolismo",,,
alimentacion,,,"Come_y_adelgaza_DESAYUNOS_MetabolismoTV",,,
medicina,,,"herbolario-tropical-book-dr-keshava-bhat-1985",,,
medicina,,,"El Ayuno Terapéutico como Proceso de Regeneración Celular",,,
medicina,,,"La Curación Por El AYUNO",,,
medicina,,,"Protocolo de Realimentación Post",,,
medicina,,,"Protocolo Detallado",,,
medicina,,,"Protocolo Previo Obligatorio para la Realización de un Ayuno Terapéutico",,,
medicina,,,"Diabetes Sin Problemas",,,
medicina,,,"OncologiaYTerapiaGerson",,,
medicina,,,"Pare La Diabetes en 14 Dias - Dr. Ludwig Johnson",,,
medicina,,,"Guía de Episodios de MetabolismoTV",,,
medicina,,,"Metabolismo_Ultra_Poderoso_por_Frank_Sua",,,
medicina,,,"La Medicina de la Nueva Era",,,
medicina,,,"La Historia de la Nueva Medicina",,,
medicina,,,"Gerson- Libro entero",,,
medicina,,,"Conflictos y Enfermedades",,,
medicina,,,"Mapa de conceptos",,,
variados,,,"Inspección de riesgo",,,
variados,,,"MINUTA DE SEGUIMIENTO OPERATIVO",,,
variados,,,"OFICIO DE RECEPCIÓN DE DOCUMENTOS",,,
